"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"UNIVERSAL TENSEGRITY JOINTS FOR HUMAN EXOSKELETON","US10350130 (B2); US2017209330 (A1)","2017-07-27","HUGHES MIKE [US];  ANGOLD RUSSDON [US];  VICKERS JEFF [US];  ROAN BRADLEY [US];  AMUNDSON KURT [US];  FLEMING NICHOLAS [US]","EKSO BIONICS INC [US]","A61H3/00; A61F2/60; A61F2/66","A61F2/604; A61F2/605; A61F2/66; A61H1/0266; A61H3/00; B25J9/0006; B25J17/00; A61F2002/5038; A61H1/0255; A61H2201/0165; A61H2201/0192; A61H2201/1621; A61H2201/1642; A61H2201/165; A61H2201/169; A61H2205/08; A61H2205/10; A61H2205/12","US201615329529","20160715","US201615329529 20160715; US201562193919P 20150717; WO2016US42418 20160715","US5167612 (A); US5167612 (A); US6969365 (B2); US5020790 (A); US5167612 (A)","","","","","","","","US5020790 (A); US6824569 (B2); US6969365 (B2); US7192410 (B1); US7549969 (B2); US8376974 (B2); US8845566 (B2); US8894592 (B2); US9198821 (B2); US2005216097 (A1); US2007004570 (A1); US2012271207 (A1); US2013245524 (A1); US2014090677 (A1); US2014276265 (A1); US2014276308 (A1); US2014303536 (A1); US2015150705 (A1); US2016229049 (A1); CN101132753 (A); WO2015095211 (A2)","","","","",""
"Systems and Methods for Transferring Exoskeleton Trajectory Sequences","US10426688 (B2); US2017202725 (A1)","2017-07-20","ROBERTSON BRICE [US];  SWEENEY MATTHEW D [US]","EKSO BIONICS INC [US]","A61H3/00; A61H1/02; G06Q20/42","A61H1/024; A61H1/0244; A61H3/00; G06F19/00; G06Q20/42; G16H40/60; A61H3/02; A61H2003/0227; A61H2201/165; A61H2201/50; A61H2201/5012; A61H2201/5058; A61H2201/5071; A61H2201/5084; A61H2201/5097; G05B2219/40305","US201515324609","20150707","US201515324609 20150707; US201462021906P 20140708; WO2015US39352 20150707","US2012172770 (A1); US2013198625 (A1)","","","","","","","","US4491725 (A); US6363282 (B1); US7149773 (B2); US7711603 (B2); US7731670 (B2); US7870005 (B2); US8588912 (B2); US8639346 (B2); US8775133 (B2); US8996173 (B2); US2005107726 (A1); US2007123997 (A1); US2010292556 (A1); US2013291060 (A1); US2014100491 (A1)","","","","",""
"TRUNK SUPPORTING EXOSKELETON AND METHOD OF USE","US2017196712 (A1)","2017-07-13","KAZEROONI HOMAYOON [US];  HACKER ERICH [US];  CHEN LEE-HUANG [US]","UNIV CALIFORNIA [US]","A61F2/68; A61F5/02","A61F2/68; A61F5/02; A61F5/026; A61F5/028; A61F2002/5038; A61F2002/5039; A61F2005/016; A61F2005/0169; A61F2005/0179; A61F2005/0188","US201715469201","20170324","US201715469201 20170324; US201314125117 20131211; WO2012US41891 20120611; US201161495484P 20110610","","","","","","","","","","","","","",""
"METHODS OF OPERATING AN EXOSKELETON FOR GAIT ASSISTANCE AND REHABILITATION","US2017196751 (A1)","2017-07-13","SMITH JONATHON A [US];  BHUGRA KERN [US]","LEONIS MEDICAL CORP [US]","A61H3/00; B25J9/00; B25J9/10","A61H1/0255; A61H3/00; A63B21/0004; A63B21/00178; A63B21/00181; A63B21/0058; A63B21/4009; A63B21/4011; A63B21/4025; A63B21/4047; A63B23/03541; A63B23/0405; A63B71/0622; B25J9/0006; B25J9/104; A61H2201/0107; A61H2201/0184; A61H2201/1215; A61H2201/1238; A61H2201/1445; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/501; A61H2201/5023; A61H2201/5046; A61H2201/5061; A61H2201/5069; A61H2201/5071; A61H2201/5082; A61H2201/5084; A61H2201/5092; A61H2201/5097; A61H2230/00; A61H2230/06; A61H2230/207; A63B2208/0204; A63B2220/16; A63B2220/40; A63B2220/51; A63B2220/72; A63B2220/805; A63B2220/836; A63B2225/20; A63B2225/50; A63B2230/00; A63B2230/06; A63B2230/207; G05B2219/40305","US201715406523","20170113","US201715406523 20170113; US201213562131 20120730; US201161513507P 20110729","","","","","","","","","","","","","",""
"SHOULDER JOINT REHABILITATION ASSISTIVE DEVICE","US2017189257 (A1)","2017-07-06","LAN CHAO-CHIEH [TW];  HSIEH HSIANG-CHIEN [TW];  CHIEN LI [TW];  CHEN DIAN-FU [TW]","UNIV NAT CHENG KUNG [TW]","A61H1/02","A61H1/0281; A63B21/00178; A63B21/00181; A63B21/023; A63B21/05; A63B21/4005; A63B21/4017; A63B21/4049; A61H2201/0157; A61H2201/12; A61H2201/1614; A61H2201/165; A61H2201/5007; A61H2201/5061; A61H2201/5064; A63B21/00069; A63B24/0087; A63B2220/20; A63B2220/803","US201615393724","20161229","TW20160100204 20160105","","","","","","","","","","","","","",""
"EXOSKELETON SUIT WITH HAND CONTROL TO ENABLE WALKING","US10369071 (B2); US2017181916 (A1)","2017-06-29","KLASSEN JAMES BRENT [CA]","GENESIS ROBOTICS LLP [CA]","A61H3/00; A61F2/72","A61F2/72; A61F5/0102; A61H3/00; B25J3/04; B25J9/0006; B25J13/025; A61F2002/5038; A61F2002/6827; A61F2002/701; A61F2005/0155; A61H2201/1207; A61H2201/1635; A61H2201/164; A61H2201/5058","US201515309422","20150505","US201515309422 20150505; US201461988888P 20140505; WO2015CA50394 20150505","GB2301776 (A)","","","","","","","","US3358678 (A); US2008238352 (A1); GB2301776 (A); JP2013208342 (A); WO2008094191 (A2); WO2011002306 (A1)","","","","",""
"EXOSKELETON","US2017182654 (A1)","2017-06-29","PATOGLU VOLKAN [TR]","SABANCI UNIV [TR]","B25J9/00; A61H1/02","A61H1/024; A61H1/0281; B25J9/0003; B25J9/0006; A61H2201/1207; A61H2201/1616; A61H2201/1664","US201715400413","20170106","US201715400413 20170106; US201213529437 20120621; US201161499663P 20110621","","","","","","","","","","","","","",""
"Exoskeleton and Method of Providing an Assistive Torque to an Arm of a Wearer","US10058994 (B2); US2017173783 (A1)","2017-06-22","ANGOLD RUSS [US];  LUBIN JAMES [US];  SOLANO MARIO [US];  PARETICH CHRIS [US];  MASTALER TOM [US]","EKSO BIONICS INC [US]","B25J9/00; B25J9/10; B25J9/14","B25J9/0006; B25J9/042; B25J9/106; B25J9/109; B25J9/1633; B25J18/04; Y10S901/02","US201615385336","20161220","US201615385336 20161220; US201562270996P 20151222","US6301526 (B1); US8152699 (B1); US8641782 (B2); US9427865 (B2); US2007060445 (A1); US2007225620 (A1); US2010204804 (A1); US2010217163 (A1); US2011127390 (A1); US2012010749 (A1); US2012184880 (A1); US2014033391 (A1); US2014158839 (A1)","","","","","","","","US3358678 (A); US3449769 (A); US4180870 (A); US4298149 (A); US4669451 (A); US4836195 (A); US4896660 (A); US5282460 (A); US5385536 (A); US5407420 (A); US6113562 (A); US6599263 (B1); US6685662 (B1); US6929616 (B2); US7410338 (B2); US7413554 (B2); US7862524 (B2); US7947004 (B2); US7955285 (B2); US8273043 (B2); US8409118 (B2); US8425436 (B2); US8460222 (B2); US8591442 (B2); US8968222 (B2); US9144528 (B2); US9204730 (B2); US9205017 (B2); US9345606 (B2); US9358173 (B2); US9375325 (B2); US9404618 (B2); US2003115954 (A1); US2012172769 (A1); US2012179075 (A1); US2015048134 (A1); US2015076196 (A1); US2015217444 (A1); US2015316204 (A1); US2016081871 (A1); US2016206497 (A1); DE19940603 (A1); FR2917323 (A1); KR20150003562 (A); WO9532842 (A2); WO2008031023 (A2)","","","","",""
"LAUNDRY TREATING APPLIANCE","US10487432 (B2); US2017152622 (A1)","2017-06-01","MIKKELSEN DOUGLAS [US];  MILLER CHRISTOPH J [US];  WALSH ERIC J [US]","WHIRLPOOL CO [US]","D06F37/26; D06F37/22","D06F37/22; D06F37/225; D06F37/264; D06F37/00; D06F37/04; D06F37/263; D06F37/267; D06F37/268; D06F39/12","US201615345417","20161107","US201615345417 20161107; US201562261515P 20151201","US3436934 (A); US5211038 (A); US5870907 (A); US9200838 (B2); US2010095714 (A1); ES2394974 (A1); KR20090096949 (A)","","","","","","","","US2656696 (A); US3152202 (A); US4949557 (A); US5989466 (A); US6050113 (A); US6655177 (B2); US7533548 (B2); US7571625 (B2); US7765838 (B2); US7820995 (B2); US7930910 (B2); US7976111 (B2); US8156770 (B2); US8256246 (B2); US8302434 (B2); US8322170 (B2); US8336339 (B2); US8336340 (B2); US8341983 (B2); US8387421 (B2); US8616027 (B2); US8646190 (B2); US8646292 (B2); US8646293 (B2); US8763618 (B2); US2005028568 (A1); US2009038349 (A1); US2013031938 (A1); US2013036774 (A1); US2014150281 (A1); US2015052953 (A1); US2015052954 (A1); US2015176166 (A1); US2016177487 (A1); CH346852 (A); DE1610077 (A1); DE3817611 (A1); DE10252011 (A1); DE102010028437 (A1); EP0234243 (A1); EP0765963 (A1); EP1433890 (A2); EP1433891 (A2); EP1522624 (A2); EP1619286 (A2); EP1688531 (A1); EP1783266 (A1); EP1990462 (A2); EP2385163 (A1); EP2460924 (A2); ES2399674 (A2); ES2463168 (A1); ES2463315 (A2); ES2463487 (A1); ES2464242 (A2); FR1375530 (A); FR1513957 (A); GB1598210 (A); GB2096649 (A); GB2189511 (A); IT1169242 (B); IT1205674 (B); WO2008102396 (A2); WO2009030688 (A1)","","","","",""
"LAUNDRY TREATING APPLIANCE","US10125446 (B2); US2017152625 (A1)","2017-06-01","MIKKELSEN DOUGLAS [US];  MILLER CHRISTOPH J [US];  WALSH ERIC J [US]","WHIRLPOOL CO [US]","D06F37/30; D06F37/04","D06F37/04; D06F37/206; D06F37/263; D06F37/264; D06F37/269; D06F37/30; D06F37/267","US201615344890","20161107","US201615344890 20161107; US201562261515P 20151201","","","","","","","","","","","WO2009030688 (A1)","","",""
"EXOSKELETON COMPRISING A FOOT STRUCTURE","US2017143573 (A1)","2017-05-25","BOULANGER ALEXANDRE [FR]","WANDERCRAFT [FR]","A61H3/00; A61H1/02; B25J9/00","A61H1/0237; A61H1/024; A61H1/0244; A61H1/0262; A61H1/0266; A61H3/00; A61H3/04; B25J9/0006; A61H2201/1215; A61H2201/1246; A61H2201/149; A61H2201/1628; A61H2201/164; A61H2201/165; A61H2201/5035; A61H2201/5084; A61H2201/5092; A61H2230/605; G05B2219/40305","US201515127769","20150323","FR20140052370 20140321; FR20140052372 20140321; WO2015EP56150 20150323","","","","","","","","","","","","","",""
"LEGACY APPLICATION MIGRATION TO REAL TIME, PARALLEL PERFORMANCE CLOUD","US2017139741 (A1)","2017-05-18","BACHELOR DOUGLAS WILEY [US];  CURBELO RAUL HUGO [US];  ELKINS ELIZABETH WINTERS [US];  MCGRATH CHRISTIE PATRICK [US];  MOSS SIMON BYFORD [US];  FOUNTAIN THOMAS C [US]","PNEURON CORP [US]","G06F9/48; G06F9/54; G06N3/02; H04L29/08","G06F9/4843; G06F9/541; G06N3/02; G06Q10/06; G06Q10/067; H04L67/10","US201715419937","20170130","US201715419937 20170130; US201213442353 20120409; US201161472812P 20110407; US20100870348 20100827","","","","","","","","","","","","","",""
"Portable Modularized Medical Unit and System","US2017130447 (A1)","2017-05-11","LANE JR JOHN R [US];  KNIGHT JAMES RICHARD [US]","LANE JR JOHN R [US];  KNIGHT JAMES RICHARD [US]","E04B1/343; A61G1/013; E04H1/12","A61G3/003; A61G3/0825; A61G3/0833; A61G3/0858; E04B1/34336; E04H3/08; E04H2001/1283","US201514935895","20151109","US201462077208P 20141108","","","","","","","","","","","","","",""
"Human Exoskeleton Devices for Heavy Tool Support and Use","US10327536 (B2); US2017119132 (A1)","2017-05-04","PRUESS ADAM [US];  MEADOWS CHRIS [US];  AMUNDSON KURT [US];  ANGOLD RUSS [US];  LUBIN JAMES [US];  SOLANO MARIO [US];  MASTALER TOM [US];  FLEMING NICHOLAS [US];  SWEENEY MATT [US]","EKSO BIONICS INC [US]","A45F3/08; B25J9/00; H01M2/10","A45F3/08; B25F5/00; B25J9/0006; F16M11/2007; F16M11/2085; F16M11/32; F16M13/04; H01M2/1022; A45F2003/045; A45F2003/144; A45F2003/146; A45F2200/0575; F16M2200/04; F16M2200/041; F16M2200/044; F16M2200/063; H01M2/1022; H01M2220/30","US201615339293","20161031","US201615339293 20161031; US201562248677P 20151030","US2014240109 (A1); US2015321341 (A1); US2017014984 (A1); US2017181916 (A1)","","","","","","","","US3140800 (A); US3900140 (A); US3964182 (A); US4483070 (A); US5385536 (A); US6764231 (B1); US6916124 (B1); US7397014 (B2); US8413936 (B2); US8641782 (B2); US8827216 (B2); US8968222 (B2); US8985878 (B2); US9095981 (B2); US9204730 (B2); US9205017 (B2); US9421143 (B2); US2011066088 (A1); US2011264014 (A1); US2014212243 (A1); US2015076196 (A1); US2015316204 (A1); US2016031076 (A1)","","","","",""
"Portable Hybrid Hyperbaric Chamber","US2017100294 (A1)","2017-04-13","ACEVEDO EFRAIN [US];  WRIGHT KENNETH [US]","ACEVEDO EFRAIN [US];  WRIGHT KENNETH [US]","A61G10/02","A61G10/026","US201615290195","20161011","US201615290195 20161011; US201562240103P 20151012","","","","","","","","","","","US9186232 (B1)","","",""
"EXPANDABLE CARRY POUCH WITH VARIABLE COMPRESSION","US10306973 (B2); US2017099934 (A1)","2017-04-13","EVANS SCOTT [US]","EVANS SCOTT [US]","A45F5/02; F42B39/02","A45F5/02; A45F5/021; F42B39/02; A45F5/00; A45F2005/008; A45F2200/0591","US201615291437","20161012","US201615291437 20161012; US201562240337P 20151012","US6154997 (A); US6202908 (B1); US7025238 (B2); US8011544 (B1); US8485405 (B2); US8887977 (B2)","","","","","","","","","","","","",""
"Exoskeleton and Method of Using the Same","US10442078 (B2); US2017087716 (A1)","2017-03-30","BUJOLD ALAIN [CA];  SHEITOYAN JEAN-MARC [CA];  TREMBLAY FRANÇOIS [CA];  PAQUETTE PATRICE [CA];  POHL ALEKSANDER [CA];  FORGET SIMON [CA];  OUANES ANIS [CA];  VARY ALAIN [CA]","MAWASHI PROTECTIVE CLOTHING INC [CA]","B25J9/00; A61F5/01; A61F5/02","A61F5/0102; A61F5/028; B25J9/0006; A61F2005/0155","US201615349602","20161111","US201615349602 20161111; US201514743102 20150618; US201462013722P 20140618","US9492300 (B2); US2012172770 (A1)","","","","","","","","US8057410 (B2); US8474672 (B1); US8968222 (B2); US2006260620 (A1); US2011264014 (A1); US2013226048 (A1); US2013303950 (A1); US2015001269 (A1); CA2724062 (A1); CA2746327 (A1); CN101605514 (A); CN102036638 (A); JPS6379654 (A); JP2006340852 (A); JP2011092507 (A); JP2013132396 (A); WO2014159608 (A1)","","","","",""
"MOTOR-DRIVEN ARTICULATED MODULE, ARTICULATION INCLUDING SEVERAL MODULES, AND EXOSKELETON INCLUDING SEVERAL ARTICULATIONS","US10377036 (B2); US2017080559 (A1)","2017-03-23","NAMOUN FAYÇAL [FR];  SELLAOUTI RAMZI [FR];  PISTIAUX LAURENT [FR]","ASSISTIVE ROBOTIC TECH [FR]","B25J9/00; B25J9/06","B25J9/0006; B25J9/06","US201415039782","20141127","FR20130061672 20131127; WO2014EP75841 20141127","US3580099 (A); US4712969 (A); US4848179 (A); US6540458 (B1); US8544853 (B2); US8986232 (B2); US9919434 (B1); US10080697 (B2); US2004126198 (A1); US2009314119 (A1); US2010331150 (A1); US2011313331 (A1); US2012068422 (A1); US2012330198 (A1); US2016016309 (A1); US2016031080 (A1); US2016113831 (A1); US2016114479 (A1); US2016151910 (A1); US2017239820 (A1)","","","","","","","","JP2010075548 (A)","","","","",""
"PASSIVE MECHANICAL EXOSKELETON TO REDUCE HAND FATIGUE","US2017071272 (A1); US9750290 (B2)","2017-03-16","CAREY ALAN [US];  ROBINSON STEPHEN [US]","UNIV CALIFORNIA [US]","A41D19/015; A61F5/01","A41D19/01547; A41D19/01582; A61F5/013; A61F5/05866; A61F2005/0155; A61F2005/0158","US201615267039","20160915","US201615267039 20160915; US201562219477P 20150916","","","","","","","","","","","US2016058130 (A1); US2013226350 (A1); US2016058130 (A1)","","",""
"Devices and Methods for Improving the Utility of an Exoskeleton Mobility Base","US10245204 (B2); US2017071812 (A1)","2017-03-16","SANDLER REUBEN [US];  SMITH RENATA [US];  MEADOWS CHRIS [US];  REA ROCHELLE [US];  JONES JARED [US];  SWEENEY MATT [US]","EKSO BIONICS INC [US]","A61H3/00; A61G7/10; A61H1/02","A61G5/066; A61G5/14; A61G7/10; A61H1/024; A61H1/0244; A61H1/0255; A61H1/0274; A61H3/00; A61H3/04; H01M2/1016; H01M2/1072; A61G5/1054; A61H2201/0107; A61H2201/163; A61H2201/1635; A61H2201/1642","US201615260577","20160909","US201615260577 20160909; US201562217085P 20150911","","","","","","","","","","","US2016067137 (A1)","","",""
"BRACE FOR PROTECTING A REGION OF A LIMB","US2017065448 (A1)","2017-03-09","MICHELL ANDREW [GB]","MICHELL ANDREW [GB]","A61F5/01","A61F5/0102; A61F5/0109; A61F5/0118; A61F5/013; A61F5/05858; A61F5/373; A61F2005/0165; A61F2005/0181","US201515120449","20150219","GB20140002953 20140219; WO2015GB50486 20150219","","","","","","","","","","","","","",""
"EXOSKELETON DEVICES FOR USE WITH ELONGATED MEDICAL INSTRUMENTS","US2017065796 (A1)","2017-03-09","FOJTIK SHAWN P [US]","TRANSIT SCIENT LLC [US]","A61M25/10; A61B17/00; A61B90/00; A61M29/02","A61B17/320725; A61M25/104; A61M29/02; A61B2017/00526; A61B2017/22061; A61M2025/1081; A61M2025/1084; A61M2025/109","US201615260202","20160908","US201615260202 20160908; US201562215472P 20150908","US2006259005 (A1); US2013144328 (A1); US2014163594 (A1); US2015157832 (A1); US2008044553 (A1); US2015157832 (A1); US2014163594 (A1); US2013144328 (A1); US2014163594 (A1); US2008044553 (A1); US2006259005 (A1)","","","","","","","","","","","","",""
"RECOGNITION METHOD OF HUMAN WALKING SPEED INTENTION FROM SURFACE ELECTROMYOGRAM SIGNALS OF PLANTAR FLEXOR AND WALKING SPEED CONTROL METHOD OF A LOWER-LIMB EXOSKELETON ROBOT","US10434027 (B2); US2017056275 (A1)","2017-03-02","LEE JONG MIN [KR];  KIM HYUNGMIN [KR];  KIM SEUNG-JONG [KR];  CHOI JUNHO [KR];  HWANG YOHA [KR];  CHUNG SANG HUN [KR];  KIM YEONGHUN [KR];  CHOI JUNHYUK [KR]","KOREA INST SCI & TECH [KR]","A61H3/00; A61B5/0488; A61B5/103; A61B5/107; A61F2/72; A61H1/02","A61B5/04888; A61B5/1038; A61F2/72; A61H1/0255; A61H1/0262; A61H3/00; B25J9/0006; A61B5/1071; A61H2003/006; A61H3/04; A61H2201/0119; A61H2201/1207; A61H2201/1463; A61H2201/1628; A61H2201/1635; A61H2201/164; A61H2201/1652; A61H2201/1664; A61H2201/1676; A61H2201/5007; A61H2201/5069; A61H2201/5071; A61H2230/605; A63B21/00181; A63B21/0058; A63B21/068; A63B21/16; A63B21/4011; A63B21/4013; A63B21/4015; A63B22/02; A63B2024/0093; A63B69/0059; A63B2069/0062; A63B2220/34; A63B2220/56; A63B2230/605","US201615001891","20160120","KR20150123027 20150831","US9526636 (B2); US2007162152 (A1)","","","","","","","","US6645126 (B1); US8623098 (B2); US8684890 (B2); US2014058299 (A1); US2015134080 (A1); JP2012095793 (A); KR101221046B (B1); KR101323019B (B1); KR20150055958 (A); WO2012118143 (A1)","","","","",""
"EXOSKELETON SYSTEM FOR LOAD CARRYING","US10165847 (B2); US2017035187 (A1)","2017-02-09","CHAPMAN THOMAS WAYNE [AU]","THE COMMONWEALTH OF AUSTRALIA [AU]","A45F3/10; A45C13/38; B25J9/00","A45C13/38; A45F3/00; A45F3/04; A45F3/10; B25J9/0006; A45F2003/001; A45F3/04; B25J9/104","US201515303463","20150415","AU20140901396 20140416; AU20140903797 20140923; WO2015AU00225 20150415","US5834789 (A); US2007074327 (A1); US2011105966 (A1); US2012292361 (A1); US2013303950 (A1); US8968222 (B2); US9266233 (B2); US2016107309 (A1); US9351900 (B2); US9427864 (B2); US2017087716 (A1); US9610208 (B2); US9662262 (B2); US2017202724 (A1); US9782322 (B2); US2017348176 (A1); US2018042803 (A1); US2018049903 (A1); US9950422 (B2); US2018125738 (A1); US9662262 (B2); US5834789 (A); US2018049903 (A1); US2012292361 (A1); US2007074327 (A1); US9351900 (B2); US9427864 (B2); US9610208 (B2); US9782322 (B2); US9950422 (B2); US2017348176 (A1); US2018042803 (A1); US2017202724 (A1); US2017087716 (A1); US2013303950 (A1); US8968222 (B2); US2011105966 (A1); US9266233 (B2); US2016107309 (A1); US2018125738 (A1); US5834789 (A); US8968222 (B2); US9266233 (B2); US9351900 (B2); US9427864 (B2); US9610208 (B2); US9662262 (B2); US9782322 (B2); US9950422 (B2); US2007074327 (A1); US2011105966 (A1); US2012292361 (A1); US2013303950 (A1); US2016107309 (A1); US2017035187 (A1); US2017087716 (A1); US2017202724 (A1); US2017348176 (A1); US2018042803 (A1); US2018049903 (A1); US2018125738 (A1)","","","","","","","","US7571839 (B2); US2002169402 (A1); US2004124224 (A1); US2007123997 (A1); US2014330431 (A1); US2015366694 (A1); CN201010287Y (Y); CN101803966 (A); CN104337668 (A); WO2010101595 (A1); WO2011002784 (A1); WO2013086035 (A1); WO2016036963 (A1)","","","","",""
"EXOSKELETON-TYPE GLOVE","US2017042704 (A1)","2017-02-16","RYU JEE-HWAN [KR];  POPOV DMITRY [KR];  GAPONOV IGOR [KR]","KOREA UNIV OF TECH AND EDUCATION INDUSTRY-UNIV COOP FOUND [KR];  KOREA UNIV OF TECH AND EDUCATION INDUSTRY-UNIV COOP [KR]","A61F2/68; A61F2/58","A61F2/583; A61F2/68; A61H1/0288; A61F2002/701; A61H2201/0176; A61H2201/1207; A61H2201/14; A61H2201/1635; A61H2201/165; A61H2201/1671; A61H2201/5007; A61H2201/5092; A61H2230/60","US201515305195","20150210","KR20140047473 20140421; KR20140047474 20140421; WO2015KR01349 20150210","","","","","","","","","","","","","",""
"ENCLOSURE FOR A CABLE CONNECTION","US2017033546 (A1); US9831655 (B2)","2017-02-02","DUPUIS DAVID M [US]","3M INNOVATIVE PROPERTIES CO [US]","H02G15/113","H02G15/113","US201515105624","20150116","US201515105624 20150116; US201461930033P 20140122; WO2015US11682 20150116","US8841553 (B2); US8378214 (B2); US7690940 (B1); US7531748 (B2); US7304242 (B1); US7282644 (B1); US6955558 (B1); US6864427 (B2); US6283670 (B1); US5594210 (A); US5594210 (A); US6283670 (B1); US6864427 (B2); US6955558 (B1); US7282644 (B1); US7304242 (B1); US7531748 (B2); US7690940 (B1); US8378214 (B2); US8841553 (B2)","","","","","","","","US7093858 (B1); US7307219 (B1); US2002166691 (A1); US2008245547 (A1); US2012090876 (A1); EP0156441 (A2); EP0314451 (A2); EP1981140 (A2); GB2296393 (A); WO2011162926 (A2); WO2012038854 (A2)","","","","",""
"Suspension and body attachment system and differential pressure suit for body weight support devices","US9554964 (B1)","2017-01-31","JOHNSON DOUGLAS E [US];  HAUCK JOHN A [US];  OSLAND ODD [US];  JOHNSON MARK T [US]","LITE RUN INC [US]","A61H3/04; A41D13/002; A61H3/00; A61H9/00; A41D13/00","A61D3/00; A61F5/24; A61H3/00; A61H3/008; A61H3/04; A61H9/0078; A63B21/00181; B32B5/04; B32B5/26; A41D13/0007; A41D13/0025; A61H2003/007; A61H2201/0103; A61H2201/1616; A61H2201/1621; A61H2201/163; A61H2201/1642; A61H2201/1647; A61H2201/165; A61H2201/5071; A61H2203/03; A61H2205/08; A61H2205/10; A61H2209/00; A63B21/153; A63B22/0056; A63B2022/0094; A63B22/02; A63B22/0235; A63B22/20; A63B69/0064; A63B71/0009; A63B2208/05; A63B2208/053; A63B2208/056; A63B2208/14; A63B2220/56; B32B2307/51; B32B2307/724; B32B2307/7242; B32B2437/00; B32B2535/00","US201213573692","20121003","US201213573692 20121003; US20090456196 20090612; US20090319463 20090107; US201161626749P 20111003; US20080010034P 20080107; US20080131919P 20080613","US2507704 (A); US2675856 (A); US3778052 (A); US4455685 (A); US4509513 (A); US4844452 (A); US5133339 (A); US5356361 (A); US5372561 (A); US5512029 (A); US5873768 (A); US6027464 (A); US6093024 (A); US6273844 (B1); US6821233 (B1); US7341543 (B2); US2002025889 (A1); US2003032904 (A1); US2005101448 (A1); US2006135889 (A1); US2006156517 (A1); US2007181121 (A1)","","","","","","","","US1629108 (A); US2762047 (A); US2825327 (A); US3355230 (A); US3589366 (A); US3744491 (A); US3823711 (A); US3823712 (A); US4003371 (A); US4039039 (A); US4151612 (A); US4211223 (A); US4230114 (A); US4257407 (A); US4343302 (A); US4421109 (A); US4577622 (A); US4691695 (A); US4959047 (A); US5029579 (A); US5176597 (A); US5273502 (A); US5478310 (A); US5503143 (A); US5537686 (A); US5704881 (A); US5865722 (A); US5997465 (A); US6045519 (A); US6302828 (B1); US6460195 (B2); US6589194 (B1); US6757916 (B2); US7363931 (B2); US7591795 (B2); US2002116741 (A1); US2003216672 (A1); US2004063550 (A1); US2005070405 (A1); US2006049611 (A1); US2006189899 (A1); US2007157651 (A1); US2007179421 (A1); US2010000547 (A1); WO2009151630 (A1)","","","","",""
"ION EXCHANGE EXOSKELETON AND FILTER ASSEMBLY","US2017021285 (A1)","2017-01-26","MILLER STUART [US]","MANN+HUMMEL GMBH [DE]","B01D15/18; B01D15/36","B01D15/18; B01D15/362; B01D15/363; B01J47/024; B01J47/04","US201615055769","20160229","US201615055769 20160229; US201213684207 20121122; US201261594720P 20120203","US2796989 (A); US2010044297 (A1); US5885453 (A); US2008073276 (A1); US5032261 (A); US2005247201 (A1)","","","","","","","","","","","","",""
